train_acc_private,train_acc_public,train_loss,train_sign_acc,train_sign_loss,train_time,valid_acc_private,valid_acc_public,valid_loss_private,valid_loss_public,valid_s_private_features.4,valid_s_private_features.5,valid_s_private_features.6,valid_time_private,valid_time_public,valid_total_acc
35.335307298335465,36.47367157490397,3.7185512407183188,1.0,40.99985997611657,52.545708894729614,28.57,44.07,1.900772786140442,1.9649136505126954,1.0,1.0,1.0,6.4828996658325195,7.024303436279297,36.32
51.99463828425096,54.66549295774648,2.570373217366569,1.0,1.3275677321944386,49.34704804420471,42.52,59.53,1.673965368461609,1.459269235610962,1.0,1.0,1.0,6.5056092739105225,6.39333438873291,51.025000000000006
61.51368437900128,64.42061459667093,2.0839158754495286,1.0,1.2406161322724074,49.386549949645996,48.04,64.14,1.6712919147491454,1.331408238697052,1.0,1.0,1.0,6.53173303604126,6.550297498703003,56.09
67.74767925736235,70.3825224071703,1.7525519556944258,1.0,1.3210661560297012,49.201842308044434,39.91,72.02,1.6878723323822022,0.9165174070358276,1.0,1.0,1.0,6.506656646728516,6.37267804145813,55.964999999999996
71.22679257362356,74.1757362355954,1.5552224390943286,1.0,1.465563619043678,49.351743936538696,45.47,74.7,1.552448097229004,0.8557632274627686,1.0,1.0,1.0,6.508218765258789,6.876158952713013,60.085
74.6338828425096,77.04865556978233,1.3805299072351103,1.0,1.6107810061657801,49.39556407928467,49.28,73.92,1.4466870670318603,0.9015323622703553,1.0,1.0,1.0,6.519418954849243,6.5300352573394775,61.6
76.60851472471191,79.08730793854033,1.269390999126068,1.0,1.7495666863396764,49.41196966171265,60.33,78.45,1.280911766242981,0.7187123384952545,1.0,1.0,1.0,6.540361166000366,6.519780158996582,69.39
78.4150928297055,80.96190781049935,1.170176184818473,1.0,1.8965610575396568,49.42779493331909,56.51,79.74,1.1986004482269288,0.6669775837898254,1.0,1.0,1.0,6.526922225952148,6.512033462524414,68.125
79.77952944942382,82.49039692701665,1.0924839491117626,1.0,2.0345080464612693,49.23759984970093,57.75,80.75,1.2325156017303467,0.6243912397384643,1.0,1.0,1.0,6.520918607711792,6.524519205093384,69.25
80.907890524968,83.39068501920615,1.0201851115794554,1.0,2.1726643345318735,49.46447205543518,68.27,81.29,1.0022490760803222,0.6210176718235015,1.0,1.0,1.0,6.5231921672821045,6.511469602584839,74.78
